id,gender,car_owner,propert_owner,children,income,type_income,education,marital_status,housing_type,age,days_employed,mobile_phone,work_phone,phone,email_id,type_occupation,family_members
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51,1000,1,0,0,0,Unknown,2
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37,1,1,1,1,0,Unknown,2
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,42,1,1,1,1,0,Unknown,2
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37,1,1,1,1,0,Unknown,2
5009753,Unknown,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,37,1,1,1,1,0,Unknown,2
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37,1,1,1,1,0,Unknown,2
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,1000,1,0,0,0,Unknown,2
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49,1,1,0,1,1,Core staff,3
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,49,1,1,0,1,1,Core staff,3
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49,1,1,0,1,1,Core staff,1
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51,2,1,1,1,0,Cooking staff,2
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51,2,1,1,1,0,Cooking staff,2
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24,2,1,0,0,1,Unknown,3
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46,0,1,0,0,0,Laborers,2
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46,0,1,0,0,0,Laborers,2
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51,6,1,0,0,0,Sales staff,1
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51,6,1,0,0,0,Sales staff,1
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,51,4,1,0,0,1,Unknown,2
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35,11,1,0,0,0,Unknown,1
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32,4,1,0,0,1,Laborers,2
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,48,2,1,0,0,0,Accountants,2
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,2,1,0,0,0,Sales staff,4
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,43,2,1,0,0,0,Laborers,2
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,43,0,1,0,1,0,Unknown,2
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,1000,1,0,1,0,Unknown,2
5025127,Unknown,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,30,9,1,0,0,0,High skill tech staff,2
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,54,1,1,0,0,0,Managers,2
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,32,13,1,0,0,0,Cleaning staff,2
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,1000,1,0,1,1,Unknown,2
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29,6,1,0,0,0,Laborers,1
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,1,1,1,0,0,Sales staff,3
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,35,9,1,0,0,0,Unknown,2
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,55,4,1,0,0,0,Drivers,2
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,57,2,1,0,0,0,Drivers,2
5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,1000,1,0,0,0,Unknown,2
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52,3,1,0,1,0,Laborers,2
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44,2,1,1,1,0,Unknown,1
5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,43,20,1,1,1,0,Unknown,4
5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,1000,1,0,0,0,Unknown,1
5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,1000,1,0,0,0,Unknown,1
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,1000,1,0,0,0,Unknown,1
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42,6,1,0,1,0,Low-skill Laborers,3
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42,6,1,0,1,0,Low-skill Laborers,3
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51,11,1,0,0,0,Accountants,3
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30,3,1,0,0,0,Laborers,3
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30,3,1,0,0,0,Laborers,3
5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50,19,1,1,0,0,Laborers,2
